               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10939,             0.01466,            0.072044,            0.012486,             0.22449,            0.014633,           0.0024144,             0.12323,            0.010639,            0.082744,              0.0973,              0.0003,              0.0003
                   1,             0.10807,            0.015309,            0.071029,            0.012488,             0.26531,            0.015443,           0.0028976,             0.11634,            0.010957,            0.079406,            0.093699,          0.00069861,          0.00069861
                   2,             0.10952,            0.022184,            0.072996,            0.012763,             0.34694,            0.014072,           0.0028812,             0.10255,             0.01174,            0.074274,            0.090096,           0.0010956,           0.0010956
                   3,            0.098033,            0.024072,            0.068678,            0.016402,             0.61224,            0.020913,           0.0041498,            0.085232,            0.013116,            0.067215,            0.086491,           0.0014911,           0.0014911
                   4,            0.088728,            0.023452,            0.061371,            0.016294,             0.71429,            0.021307,           0.0044325,            0.073921,            0.014203,            0.061324,            0.082885,            0.001885,            0.001885
                   5,             0.07869,             0.02337,            0.052296,            0.016471,             0.91837,            0.033915,           0.0067159,            0.067178,            0.015084,            0.052898,            0.079277,           0.0022772,           0.0022772
                   6,            0.076787,            0.020642,            0.046363,            0.015466,             0.95918,             0.07381,            0.018475,            0.063213,            0.015291,            0.044203,            0.075668,           0.0026679,           0.0026679
                   7,            0.071344,             0.02335,             0.03803,             0.34139,             0.26531,             0.21008,            0.061159,            0.061569,            0.015187,            0.031294,            0.072057,            0.003057,            0.003057
                   8,            0.067983,            0.024037,            0.030804,             0.51894,             0.66054,             0.52136,             0.16519,            0.060093,            0.014342,            0.022958,            0.068445,           0.0034446,           0.0034446
                   9,              0.0716,            0.031148,            0.027253,             0.33916,             0.55102,             0.32937,               0.079,            0.063008,            0.013705,            0.015913,            0.064831,           0.0038305,           0.0038305
                  10,            0.069483,            0.028545,            0.020312,             0.61628,              0.5573,             0.49659,             0.15094,            0.065044,            0.015087,            0.011431,            0.061215,           0.0042149,           0.0042149
                  11,            0.064602,            0.022606,            0.016339,               0.387,             0.57143,             0.41635,             0.12924,            0.067478,             0.01771,           0.0088808,            0.057598,           0.0045976,           0.0045976
                  12,            0.060125,            0.018971,            0.012423,             0.47845,             0.57143,              0.4634,             0.08585,            0.068291,            0.020716,           0.0071622,            0.053979,           0.0049788,           0.0049788
                  13,            0.070499,            0.020294,             0.01112,             0.13398,             0.67347,             0.13137,            0.033306,            0.073291,            0.021346,           0.0067448,            0.050358,           0.0053584,           0.0053584
                  14,            0.069237,            0.019697,            0.009343,             0.17158,             0.46939,               0.171,            0.059895,             0.08481,              0.0203,           0.0058404,            0.046736,           0.0057365,           0.0057365
                  15,            0.071038,            0.016089,             0.00851,             0.34022,             0.69388,             0.30836,            0.096903,            0.069114,             0.01886,           0.0054469,            0.043113,           0.0061129,           0.0061129
                  16,            0.063871,            0.018314,           0.0082597,             0.70173,             0.79592,             0.80286,             0.25863,            0.078383,            0.017089,           0.0050897,            0.039488,           0.0064877,           0.0064877
                  17,            0.069652,            0.025891,           0.0088984,             0.48288,             0.69388,               0.532,             0.16953,             0.06129,            0.014056,           0.0045926,            0.035861,            0.006861,            0.006861
                  18,            0.069961,            0.022112,           0.0077164,             0.46183,             0.89796,              0.6182,             0.25833,            0.075237,            0.012426,            0.004316,            0.032233,           0.0072327,           0.0072327
                  19,            0.061581,            0.016803,           0.0079237,             0.69131,               0.777,             0.74316,             0.29064,             0.06538,            0.011971,           0.0042018,            0.028603,           0.0076028,           0.0076028
                  20,            0.054282,            0.018188,           0.0070574,             0.18723,              0.5102,             0.18153,            0.054729,             0.08404,              0.0111,            0.003872,            0.024971,           0.0079713,           0.0079713
                  21,            0.072976,            0.014624,            0.005687,             0.45779,             0.63265,             0.57536,             0.15305,             0.06989,            0.010215,            0.003749,            0.021338,           0.0083383,           0.0083383
                  22,            0.065514,            0.014877,           0.0060168,             0.10658,             0.83505,             0.10568,            0.044637,            0.079875,            0.010568,           0.0035641,            0.017704,           0.0087036,           0.0087036
                  23,            0.078165,            0.018262,           0.0058293,             0.10977,             0.83673,             0.10649,            0.047122,            0.088121,           0.0094394,           0.0034737,            0.014067,           0.0090674,           0.0090674
                  24,            0.081324,            0.015011,           0.0056191,             0.42281,             0.65306,             0.55734,             0.22086,            0.071539,           0.0094533,           0.0036494,             0.01043,           0.0094296,           0.0094296
                  25,            0.072449,            0.020457,           0.0064937,             0.23528,             0.59184,             0.21942,            0.055304,            0.077106,           0.0082873,           0.0038724,            0.009505,            0.009505,            0.009505
                  26,            0.056102,            0.013188,           0.0052774,             0.62074,             0.59184,             0.70293,             0.23416,            0.068047,           0.0090251,           0.0038774,            0.009505,            0.009505,            0.009505
                  27,              0.0607,            0.017815,           0.0068904,              0.8093,             0.55102,             0.64951,             0.18587,            0.074675,           0.0088955,            0.003542,           0.0094852,           0.0094852,           0.0094852
                  28,            0.071833,             0.01427,           0.0062998,             0.23984,             0.71429,             0.24068,             0.10982,            0.069759,           0.0089132,           0.0034035,           0.0094654,           0.0094654,           0.0094654
                  29,            0.065306,            0.022995,           0.0066422,             0.74672,             0.66195,             0.81225,             0.37329,            0.061353,            0.009155,           0.0036011,           0.0094456,           0.0094456,           0.0094456
                  30,            0.068481,            0.015181,           0.0064514,             0.37413,             0.70763,             0.45218,             0.14118,            0.056508,            0.009163,           0.0032815,           0.0094258,           0.0094258,           0.0094258
                  31,            0.045779,             0.01627,           0.0052303,             0.81515,             0.81007,              0.8986,             0.49409,            0.058977,           0.0085867,           0.0031492,            0.009406,            0.009406,            0.009406
                  32,            0.060984,            0.015516,           0.0056626,             0.43829,             0.63265,              0.3953,             0.12634,            0.069745,           0.0082294,           0.0028651,           0.0093862,           0.0093862,           0.0093862
                  33,            0.075403,            0.017407,           0.0049007,             0.78589,             0.67421,             0.84773,             0.27348,            0.064854,           0.0081969,           0.0028327,           0.0093664,           0.0093664,           0.0093664
                  34,             0.06122,            0.017569,            0.005477,             0.74613,             0.59994,             0.73154,             0.28998,             0.06205,           0.0075266,           0.0028308,           0.0093466,           0.0093466,           0.0093466
                  35,             0.06232,            0.012935,           0.0046983,             0.68205,             0.81633,             0.84902,             0.24173,            0.067871,           0.0072656,           0.0027947,           0.0093268,           0.0093268,           0.0093268
                  36,            0.047489,            0.013874,           0.0048135,              0.6953,              0.7551,             0.79768,             0.44359,            0.057566,           0.0074367,           0.0028772,            0.009307,            0.009307,            0.009307
