                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.15489,                    0.6,                      1,                0.39397,               0.070857,              0.0032381,              0.0032381
                      1,                0.08064,                0.97333,                      1,                0.23652,                0.04064,              0.0063546,              0.0063546
                      2,                 0.0176,                0.94667,                      1,                0.24075,               0.010203,               0.009251,               0.009251
                      3,                0.00306,                0.97333,                      1,                0.19403,                0.00901,                0.00901,                0.00901
                      4,                0.00517,                0.97333,                      1,                0.19721,                0.00901,                0.00901,                0.00901
                      5,                0.00176,                0.98667,                      1,                0.19308,                0.00868,                0.00868,                0.00868
                      6,                0.01489,                   0.96,                      1,                0.20902,                0.00835,                0.00835,                0.00835
                      7,                0.02924,                   0.96,                      1,                  0.208,                0.00802,                0.00802,                0.00802
                      8,                 0.0057,                0.97333,                      1,                 0.1966,                0.00769,                0.00769,                0.00769
                      9,                0.01205,                      1,                      1,                0.18671,                0.00736,                0.00736,                0.00736
                     10,                0.00171,                0.98667,                      1,                0.18744,                0.00703,                0.00703,                0.00703
                     11,                0.00239,                0.98667,                      1,                0.18728,                 0.0067,                 0.0067,                 0.0067
                     12,                0.00143,                      1,                      1,                0.18454,                0.00637,                0.00637,                0.00637
                     13,                0.00173,                      1,                      1,                0.18379,                0.00604,                0.00604,                0.00604
                     14,                0.00029,                      1,                      1,                0.18396,                0.00571,                0.00571,                0.00571
                     15,                0.00039,                      1,                      1,                0.18448,                0.00538,                0.00538,                0.00538
                     16,                0.00033,                      1,                      1,                 0.1843,                0.00505,                0.00505,                0.00505
                     17,                0.00021,                      1,                      1,                0.18605,                0.00472,                0.00472,                0.00472
                     18,                0.00047,                      1,                      1,                0.18452,                0.00439,                0.00439,                0.00439
                     19,                0.00012,                      1,                      1,                0.18562,                0.00406,                0.00406,                0.00406
                     20,                0.00072,                      1,                      1,                0.18437,                0.00373,                0.00373,                0.00373
                     21,                0.00031,                0.98667,                      1,                0.18681,                 0.0034,                 0.0034,                 0.0034
                     22,                0.00015,                      1,                      1,                0.18608,                0.00307,                0.00307,                0.00307
                     23,                  6e-05,                      1,                      1,                0.18515,                0.00274,                0.00274,                0.00274
                     24,                0.00011,                      1,                      1,                 0.1852,                0.00241,                0.00241,                0.00241
                     25,                0.00039,                      1,                      1,                  0.186,                0.00208,                0.00208,                0.00208
                     26,                0.00017,                0.98667,                      1,                0.18687,                0.00175,                0.00175,                0.00175
                     27,                  7e-05,                      1,                      1,                0.18534,                0.00142,                0.00142,                0.00142
                     28,                 0.0008,                      1,                      1,                0.18641,                0.00109,                0.00109,                0.00109
                     29,                  5e-05,                      1,                      1,                0.18429,                0.00076,                0.00076,                0.00076
